height,weight
0.3255,0.7304
0.4107,0.7289
0.2653,0.7095
0.2742,0.6835
0.166,0.6963
0.4723,0.7813
0.5217,0.6433
0.4435,0.8323
0.5059,0.7113
0.1336,0.8531
0.2924,0.9679
0.1571,0.6673
0.3932,0.9114
0.4489,0.8527
0.5327,0.8027
0.2096,0.7193
0.1951,0.4837
0.1377,0.5193
0.276,0.584
0.0553,0.9343
0.3439,0.8169
0.2072,0.8093
0.2672,0.9405
0.1109,0.782
0.3241,0.9246
0.6367,0.8761
0.5004,0.9149
0.3449,0.3231
0.2909,0.7454
0.4954,0.8203
0.6681,0.9805
0.3269,0.7958
0.2735,0.7961
0.3372,0.8374
0.4732,0.656
0.5158,0.8396
0.3857,0.7095
0.3648,0.6367
0.4345,0.9204
0.6856,0.2657
0.7089,0.4281
0.551,0.7507
0.709,0.8705
0.5552,0.9174
0.6431,0.8282
0.6364,0.875
0.4456,0.123
0.6432,0.7141
0.5658,0.9132
0.4252,0.6911
0.1096,0.7435
0.2622,0.6149
0.105,0.5725
0.1313,0.6655
0.2293,0.5777
0.0658,0.7839
0.4946,0.6959
0.1865,0.8148
0.2281,0.4545
0.1947,0.4585
0.4146,0.4867
0.1327,0.551
0.0344,0.8534
0.3116,0.4987
0.0012,0.8132
0.4349,0.4934
0.4582,0.5664
0.273,0.6785
0.2874,0.8686
0.1677,0.7603
0.1394,0.8032
0.0306,0.7153
0.3011,0.5814
0.1176,0.6982
0.3139,0.8434
0.4208,0.296
0.63,0.3898
0.1454,0.1811
0.4761,0.4682
0.2956,0.273
0.1489,0.4494
0.5104,0.1378
0.3577,0.3645
0.5812,0.3709
0.3567,0.4695
0.2319,0.3243
0.5966,0.1736
0.3448,0.0899
0.1716,0.1017
0.6093,0.0953
0.4394,0.5391
0.6249,0.1956
0.5795,0.2142
0.4497,0.152
0.5695,0.0873
0.1471,0.1863
0.5342,0.4775
0.577,0.5092
0.3772,0.4882
0.245,0.3668
